island_id,start_location,end_location,peak_amplitude,average_y,pattern_width,center_location,mean_slope,max_slope,area_under_curve,distance_difference,date,global_id,match_confidence,risk_score
12,194705.8,194744.6,6.662582459473324,6.057322046967828,38.80000000001746,194723.04444444444,0.09053041503021156,0.1966874111485806,235.4730768971252,0.20186866618617927,2022-01-27,IS_0046,1.0,0.41267002022807664
2,147051.4,147087.2,4.015546945274677,3.8024870397453565,35.80000000001746,147066.94949494948,0.0343251940954167,0.07530020110637502,136.27347279563676,0.026714492203218754,2022-01-27,IS_0054,0.915530726257239,0.20794767375478668
1,145854.4,145890.4,4.286557558033934,3.991372598702644,36.0,145880.94545454544,0.035937630805066886,0.0859887103990931,143.81707858783068,0.020506918228591076,2022-01-27,IS_0068,0.9561797752808079,0.21078133591502002
10,192722.8,192780.8,3.962919337825059,3.7474028212931416,58.0,192749.74949494947,0.02185621942192397,0.06550360822707897,217.59325169028554,0.019596895826595073,2022-01-27,IS_0087,1.0,0.20324008478166566
9,192571.0,192607.4,4.127008004876448,3.8138539911653515,36.39999999999418,192587.91313131314,0.05055703291215576,0.1070064818389237,139.04636263181789,0.060034657796457225,2022-01-27,IS_0088,1.0,0.2000631963930082
3,166986.0,167026.8,3.474659390791027,3.1483805833326794,40.79999999998836,166986.0,0.017064615155885855,0.038117047934074624,128.36139812158422,0.007410901382023383,2022-06-16,IS_0007,0.9998039215686331,0.2093910616681454
5,191702.6,191740.2,5.34899853153652,4.910029048585641,37.60000000000582,191726.9070707071,0.0599495698877044,0.14163185579639911,184.8774748026836,0.07474621004821103,2022-06-16,IS_0009,0.9995721925133191,0.17529400807745887
9,193464.6,193501.6,6.805376104926637,6.263853272854427,37.0,193485.5292929293,0.08383036081670393,0.18557763014398126,232.13797854424757,0.16282931645642407,2022-06-16,IS_0029,0.997405405405481,0.23320925931550746
11,194698.6,194753.4,6.799005582300169,5.766758461606858,54.79999999998836,194725.1696969697,0.11180990678847268,0.24829359386794297,317.1370492634224,0.4448717383907663,2022-06-16,IS_0030,0.9960583941605067,0.23282123293064333
4,188914.2,189012.0,6.223767163293534,4.859914985582883,97.79999999998836,188996.19393939394,0.04045674728446344,0.13033083256769165,475.79639475948045,0.08494569536456709,2022-06-16,IS_0031,0.9997546012270129,0.1836775500556122
7,192732.4,192790.4,3.892966525219393,3.7109550535974063,58.0,192756.4202020202,0.017445370797454736,0.06972724247419501,215.420657401069,0.015416018257795372,2022-06-16,IS_0032,0.9972413793102846,0.20363750357434496
8,193304.8,193343.8,4.606956941715476,4.189310402173021,39.0,193323.70909090908,0.06351123768174782,0.1292580084423653,163.70487153161307,0.10238378424132577,2022-06-16,IS_0048,1.0,0.17019538063952952
10,194589.2,194628.0,5.2230124858190745,4.774802711381227,38.79999999998836,194605.6606060606,0.06569070085929671,0.1465744173553841,185.5846686512709,0.10427366326685927,2022-06-16,IS_0049,1.0,0.18297462868674214
6,192580.8,192616.8,4.187476724556141,3.895891416629651,36.0,192599.70909090908,0.04781897544643244,0.09975314074848195,140.45801848253947,0.053370471171383826,2022-06-16,IS_0084,0.996666666666796,0.2011644461726972
1,145862.8,145898.4,4.21202555786396,3.9351267950441247,35.60000000000582,145888.33131313132,0.0352355716649201,0.08446097761323938,140.21621432928868,0.02056131431296393,2022-06-16,IS_0086,0.9972413793103573,0.20971343640345552
2,147059.8,147095.6,3.759772937707556,3.5475552891686175,35.80000000001746,147076.07272727272,0.03456436938609726,0.0744942037878842,127.14874030871958,0.02739409483607602,2022-06-16,IS_0089,1.0,0.20762864297101719
4,191702.6,191740.4,4.680095157737538,4.363620555952765,37.79999999998836,191726.27272727274,0.04463456105685382,0.10405113245321289,165.14530126009743,0.04366759191943004,2022-07-14,IS_0009,0.9993582887700098,0.1609493828021129
7,193148.4,193201.8,6.8772003049279435,5.952040564694156,53.39999999999418,193173.2121212121,0.10217178380693909,0.21917145018282727,318.80645615027817,0.36139583828106936,2022-07-14,IS_0012,1.0,0.23891246242485248
12,194567.4,194628.8,5.24005523161954,4.393419347938377,61.39999999999418,194608.3333333333,0.06317028860841281,0.17868308304010805,270.4318843705347,0.15676032095858972,2022-07-14,IS_0013,0.999609120521146,0.19378105385600713
9,193464.4,193501.4,6.696556592350181,6.170540420615626,37.0,193486.07676767677,0.0801318568816234,0.1803513713802404,228.66581646546985,0.1463053407080963,2022-07-14,IS_0029,0.9954594594594343,0.23806108319365515
13,194699.0,194754.0,6.766719335343446,5.755754866399044,55.0,194726.77777777778,0.1091985566502893,0.24483367751170249,317.6676027874832,0.4274559830041511,2022-07-14,IS_0030,0.9991272727272135,0.23590296752735176
6,192732.2,192790.2,3.918146954759797,3.7263147589778107,58.0,192755.63434343436,0.01799023283935363,0.07060741746573403,216.31615588526105,0.016217073089144662,2022-07-14,IS_0032,0.9958620689655775,0.20259345717254876
3,188914.2,189032.0,6.08046611878671,4.7174373459434396,117.79999999998836,188997.49292929293,0.05528349468474413,0.1799371545943597,557.5978751333001,0.27780587253808164,2022-07-14,IS_0033,0.9997283531409444,0.17882697850903978
8,193304.2,193343.2,4.383491318414361,4.01128914838038,39.0,193322.71515151515,0.05650404274782936,0.11643998558018756,156.72624444094276,0.08090832527349079,2022-07-14,IS_0048,0.9981538461539894,0.18130440071844756
